Anderson,Tyler,Palestine
Andrews,Odessa,Andrews
Angelina,Lufkin,Lufkin
Aransas,Corpus Christi,Corpus Christi
Archer,Wichita Falls,Archer City
Armstrong,Amarillo,Claude
Atascosa,San Antonio,Pleasanton
Austin,Yoakum,Sealy
Bailey,Lubbock,Muleshoe
Bandera,San Antonio,Lakehills
Bastrop,Austin,Elgin
Baylor,Wichita Falls,Seymour
Bee,Corpus Christi,Beeville
Bell,Waco,Killeen
Bexar,San Antonio,San Antonio
Blanco,Austin,Johnson City
Borden,Abilene,Gail
Bosque,Waco,Clifton
Bowie,Atlanta,Texarkana
Brazoria,Houston,Pearland
Brazos,Bryan,College Station
Brewster,El Paso,Alpine
Briscoe,Childress,Silverton
Brooks,Pharr,Falfurrias
Brown,Brownwood,Brownwood
Burleson,Bryan,Caldwell
Burnet,Austin,Marble Falls
Caldwell,Austin,San Marcos
Calhoun,Yoakum,Port Lavaca
Callahan,Abilene,Clyde
Cameron,Pharr,Brownsville
Camp,Atlanta,Pittsburg
Carson,Amarillo,Panhandle
Cass,Atlanta,Atlanta
Castro,Lubbock,Dimmitt
Chambers,Beaumont,Mont Belvieu
Cherokee,Tyler,Jacksonville
Childress,Childress,Childress
Clay,Wichita Falls,Henrietta
Cochran,Lubbock,Morton
Coke,San Angelo,Robert Lee
Coleman,Brownwood,Coleman
Collin,Dallas,Plano
Collingsworth,Childress,Wellington
Colorado,Yoakum,Columbus
Comal,San Antonio,New Braunfels
Comanche,Brownwood,Comanche
Concho,San Angelo,Eden
Cooke,Wichita Falls,Gainesville
Coryell,Waco,Copperas Cove
Cottle,Childress,Paducah
Crane,Odessa,Crane
Crockett,San Angelo,Ozona
Crosby,Lubbock,Ralls
Culberson,El Paso,Van Horn
Dallam,Amarillo,Dalhart
Dallas,Dallas,Dallas
Dawson,Lubbock,Lamesa
Deaf Smith,Amarillo,Hereford
Delta,Paris,Cooper
Denton,Dallas,Denton
DeWitt,Yoakum,Cuero
Dickens,Childress,Spur
Dimmit,Laredo,Carrizo Springs
Donley,Childress,Clarendon
Duval,Laredo,San Diego
Eastland,Brownwood,Cisco
Ector,Odessa,Odessa
Edwards,San Angelo,Rocksprings
El Paso,El Paso,El Paso
Ellis,Dallas,Waxahachie
Erath,Fort Worth,Stephenville
Falls,Waco,Marlin
Fannin,Paris,Bonham
Fayette,Yoakum,La Grange
Fisher,Abilene,Rotan
